date,campaign,country,language,impressions,clicks,cost,conversions,conversion_value
2026-07-01,Performance Max - FR,FR,fr,2386,77,81.41,2,794.82
2025-08-01,Search - Brand - EN,BE,en,2340,72,62.14,4,1932.98
2025-09-01,Search - Brand - EN,BE,en,2238,94,60.0,4,1188.65
2025-10-01,Search - Brand - EN,BE,en,2158,61,67.28,2,2077.87
2025-11-01,Search - Brand - EN,BE,en,2252,109,66.4,4,1600.61
2025-12-01,Search - Brand - EN,BE,en,2416,60,65.99,1,2199.96
2026-01-01,Search - Brand - EN,BE,en,2397,111,60.0,5,1459.13
2026-02-01,Search - Brand - EN,BE,en,2492,111,63.76,6,2281.32
2026-03-01,Search - Brand - EN,BE,en,2086,90,60.0,7,2104.1
2026-04-01,Search - Brand - EN,BE,en,2642,104,82.01,6,2896.48
2026-05-01,Search - Brand - EN,BE,en,1637,30,60.12,2,1452.94
2026-06-01,Search - Brand - EN,BE,en,1613,38,60.0,2,1763.22
2026-07-01,Search - Brand - EN,BE,en,2184,58,69.22,2,1394.73
2025-08-01,Search - Generic - EN,BE,en,4678,174,121.03,9,733.67
2025-09-01,Search - Generic - EN,BE,en,3167,107,91.49,8,1021.02
2025-10-01,Search - Generic - EN,BE,en,3964,178,99.89,6,616.61
2025-11-01,Search - Generic - EN,BE,en,3398,159,108.66,8,725.23
2025-12-01,Search - Generic - EN,BE,en,3878,91,107.41,5,849.21
2026-01-01,Search - Generic - EN,BE,en,3415,158,95.64,8,580.87
2026-02-01,Search - Generic - EN,BE,en,3085,142,89.53,6,947.25
2026-03-01,Search - Generic - EN,BE,en,2966,75,87.63,5,629.86
2026-04-01,Search - Generic - EN,BE,en,4350,159,131.11,5,464.43
2026-05-01,Search - Generic - EN,BE,en,2753,97,99.8,6,567.67
2026-06-01,Search - Generic - EN,BE,en,3607,135,122.56,6,833.8
2026-07-01,Search - Generic - EN,BE,en,3512,150,129.52,7,822.85
2025-08-01,Shopping - EN,BE,en,5341,105,137.26,2,1030.97
2025-09-01,Shopping - EN,BE,en,3175,146,119.12,10,1127.28
2025-10-01,Shopping - EN,BE,en,2341,85,86.76,5,1272.67
2025-11-01,Shopping - EN,BE,en,3311,140,110.35,7,1222.95
2025-12-01,Shopping - EN,BE,en,3394,80,107.63,5,798.84
2026-01-01,Shopping - EN,BE,en,3511,72,102.21,4,728.89
2026-02-01,Shopping - EN,BE,en,4074,173,116.47,5,932.37
2026-03-01,Shopping - EN,BE,en,3584,177,114.68,4,892.18
2026-04-01,Shopping - EN,BE,en,2849,135,95.53,6,687.06
2026-05-01,Shopping - EN,BE,en,4094,95,114.54,3,976.62
2026-06-01,Shopping - EN,BE,en,2556,51,71.01,4,622.43
2026-07-01,Shopping - EN,BE,en,3623,80,106.96,2,778.83
2025-08-01,Performance Max - EN,BE,en,3062,98,102.22,4,992.25
2025-09-01,Performance Max - EN,BE,en,3805,105,101.35,8,1077.81
2025-10-01,Performance Max - EN,BE,en,3274,105,101.47,5,911.67
2025-11-01,Performance Max - EN,BE,en,4012,108,111.15,7,899.4
2025-12-01,Performance Max - EN,BE,en,3186,74,115.06,3,807.95
2026-01-01,Performance Max - EN,BE,en,3902,79,123.7,3,819.94
2026-02-01,Performance Max - EN,BE,en,3232,58,114.45,3,1284.44
2026-03-01,Performance Max - EN,BE,en,3968,161,131.65,5,1307.33
2026-04-01,Performance Max - EN,BE,en,3488,86,102.08,2,1043.37
2026-05-01,Performance Max - EN,BE,en,3601,174,131.78,13,1306.89
2026-06-01,Performance Max - EN,BE,en,3064,57,107.48,1,873.39
2026-07-01,Performance Max - EN,BE,en,3490,78,88.54,3,1045.59
2025-08-01,Search - Brand - DE,DE,de,1764,68,60.0,2,1970.23
2025-09-01,Search - Brand - DE,DE,de,1972,96,60.0,6,2165.55
2025-10-01,Search - Brand - DE,DE,de,1950,96,60.0,3,1573.29
2025-11-01,Search - Brand - DE,DE,de,2836,65,71.81,2,1331.26
2025-12-01,Search - Brand - DE,DE,de,2566,52,74.52,1,1566.09
2026-01-01,Search - Brand - DE,DE,de,2220,51,60.0,1,2335.06
2026-02-01,Search - Brand - DE,DE,de,1938,86,60.0,2,1519.83
2026-03-01,Search - Brand - DE,DE,de,1820,87,60.0,3,1157.99
2026-04-01,Search - Brand - DE,DE,de,1986,85,60.0,6,2447.72
2026-05-01,Search - Brand - DE,DE,de,1839,72,62.39,4,2273.12
2026-06-01,Search - Brand - DE,DE,de,2268,76,60.0,3,2406.94
2026-07-01,Search - Brand - DE,DE,de,2030,82,65.65,2,1816.23
2025-08-01,Search - Generic - DE,DE,de,4015,124,102.07,5,572.26
2025-09-01,Search - Generic - DE,DE,de,3355,109,101.21,7,659.21
2025-10-01,Search - Generic - DE,DE,de,2971,122,101.96,7,715.46
2025-11-01,Search - Generic - DE,DE,de,4041,136,138.45,6,1056.54
2025-12-01,Search - Generic - DE,DE,de,3910,128,102.82,6,753.19
2026-01-01,Search - Generic - DE,DE,de,4587,186,121.03,7,662.81
2026-02-01,Search - Generic - DE,DE,de,2781,131,85.35,6,728.67
2026-03-01,Search - Generic - DE,DE,de,4361,111,136.38,8,643.87
2026-04-01,Search - Generic - DE,DE,de,3652,97,94.16,6,782.01
2026-05-01,Search - Generic - DE,DE,de,4337,187,116.45,6,904.22
2026-06-01,Search - Generic - DE,DE,de,3379,78,102.07,3,858.04
2026-07-01,Search - Generic - DE,DE,de,3951,191,119.18,9,780.84
2025-08-01,Shopping - DE,DE,de,3559,166,114.0,12,543.54
2025-09-01,Shopping - DE,DE,de,3288,150,104.05,6,1004.93
2025-10-01,Shopping - DE,DE,de,2448,76,91.39,4,1015.4
2025-11-01,Shopping - DE,DE,de,4249,169,127.97,10,1009.47
2025-12-01,Shopping - DE,DE,de,2194,75,78.47,4,564.33
2026-01-01,Shopping - DE,DE,de,2673,54,74.06,4,585.32
2026-02-01,Shopping - DE,DE,de,2030,37,68.63,1,899.94
2026-03-01,Shopping - DE,DE,de,3393,144,111.37,5,742.66
2026-04-01,Shopping - DE,DE,de,2960,91,107.25,3,796.96
2026-05-01,Shopping - DE,DE,de,3783,178,106.87,9,1155.2
2026-06-01,Shopping - DE,DE,de,2975,74,106.39,4,656.84
2026-07-01,Shopping - DE,DE,de,2899,53,88.66,3,1193.79
2025-08-01,Search - Brand - ES,ES,es,2285,50,61.61,2,1811.34
2025-09-01,Search - Brand - ES,ES,es,1696,48,60.0,2,1641.14
2025-10-01,Search - Brand - ES,ES,es,1944,51,60.0,3,2269.64
2025-11-01,Search - Brand - ES,ES,es,2170,89,67.82,4,2004.6
2025-12-01,Search - Brand - ES,ES,es,2205,69,60.0,3,1708.97
2026-01-01,Search - Brand - ES,ES,es,2512,73,71.3,4,2596.32
2026-02-01,Search - Brand - ES,ES,es,2461,95,65.14,4,1943.67
2026-03-01,Search - Brand - ES,ES,es,2518,65,63.29,1,1997.2
2026-04-01,Search - Brand - ES,ES,es,2411,43,61.6,2,2516.48
2026-05-01,Search - Brand - ES,ES,es,2204,97,71.15,2,1661.4
2026-06-01,Search - Brand - ES,ES,es,1960,86,60.0,3,2273.92
2026-07-01,Search - Brand - ES,ES,es,2172,74,64.91,2,2293.26
2025-08-01,Search - Generic - ES,ES,es,3074,144,111.82,3,577.82
2025-09-01,Search - Generic - ES,ES,es,2808,109,102.75,6,662.57
2025-10-01,Search - Generic - ES,ES,es,3924,75,114.81,3,721.17
2025-11-01,Search - Generic - ES,ES,es,4890,139,125.15,4,713.67
2025-12-01,Search - Generic - ES,ES,es,4994,164,126.12,6,801.39
2026-01-01,Search - Generic - ES,ES,es,2466,91,83.36,2,620.24
2026-02-01,Search - Generic - ES,ES,es,3367,69,127.32,2,632.94
2026-03-01,Search - Generic - ES,ES,es,3126,106,118.85,4,537.68
2026-04-01,Search - Generic - ES,ES,es,5166,171,135.69,13,811.75
2026-05-01,Search - Generic - ES,ES,es,2525,46,81.19,1,879.64
2026-06-01,Search - Generic - ES,ES,es,4881,95,125.71,3,961.35
2026-07-01,Search - Generic - ES,ES,es,2859,142,103.41,9,985.97
2025-08-01,Shopping - ES,ES,es,4467,193,125.76,13,1208.56
2025-09-01,Shopping - ES,ES,es,2865,55,109.82,4,885.35
2025-10-01,Shopping - ES,ES,es,5047,244,133.74,17,804.4
2025-11-01,Shopping - ES,ES,es,2054,63,72.94,2,999.69
2025-12-01,Shopping - ES,ES,es,5441,224,137.08,13,912.59
2026-01-01,Shopping - ES,ES,es,3094,131,103.04,4,1103.34
2026-02-01,Shopping - ES,ES,es,3305,87,116.38,4,941.85
2026-03-01,Shopping - ES,ES,es,4679,170,128.98,11,1308.24
2026-04-01,Shopping - ES,ES,es,3323,135,114.45,6,870.15
2026-05-01,Shopping - ES,ES,es,3144,78,93.21,2,971.86
2026-06-01,Shopping - ES,ES,es,4702,170,118.87,6,837.2
2026-07-01,Shopping - ES,ES,es,3592,119,112.96,5,1096.56
2025-08-01,Search - Brand - IT,IT,it,2369,111,60.0,6,2174.02
2025-09-01,Search - Brand - IT,IT,it,1575,34,60.0,2,2150.92
2025-10-01,Search - Brand - IT,IT,it,1781,86,60.0,3,2395.73
2025-11-01,Search - Brand - IT,IT,it,2016,37,60.0,1,1874.46
2025-12-01,Search - Brand - IT,IT,it,2046,79,60.0,4,2156.22
2026-01-01,Search - Brand - IT,IT,it,2036,100,60.0,7,2191.9
2026-02-01,Search - Brand - IT,IT,it,2221,84,60.0,2,2356.0
2026-03-01,Search - Brand - IT,IT,it,1859,38,64.59,2,2129.32
2026-04-01,Search - Brand - IT,IT,it,2327,76,60.0,4,2322.13
2026-05-01,Search - Brand - IT,IT,it,1867,81,60.34,3,1825.82
2026-06-01,Search - Brand - IT,IT,it,2612,113,70.2,8,2243.51
2026-07-01,Search - Brand - IT,IT,it,2502,45,65.86,2,1519.82
2025-08-01,Search - Generic - IT,IT,it,3532,97,124.03,4,851.86
2025-09-01,Search - Generic - IT,IT,it,5237,219,134.12,15,979.84
2025-10-01,Search - Generic - IT,IT,it,2313,87,73.45,2,777.11
2025-11-01,Search - Generic - IT,IT,it,4628,224,144.0,13,633.43
2025-12-01,Search - Generic - IT,IT,it,3949,111,111.4,3,877.37
2026-01-01,Search - Generic - IT,IT,it,4049,190,123.51,13,491.03
2026-02-01,Search - Generic - IT,IT,it,3884,101,121.04,6,754.65
2026-03-01,Search - Generic - IT,IT,it,3905,164,100.64,12,611.81
2026-04-01,Search - Generic - IT,IT,it,3748,73,120.29,4,828.15
2026-05-01,Search - Generic - IT,IT,it,4155,79,126.45,4,708.85
2026-06-01,Search - Generic - IT,IT,it,4430,216,138.4,12,996.9
2026-07-01,Search - Generic - IT,IT,it,2926,118,110.5,4,406.26
2025-08-01,Shopping - IT,IT,it,2529,86,84.93,6,964.06
2025-09-01,Shopping - IT,IT,it,4584,113,116.25,4,1033.03
2025-10-01,Shopping - IT,IT,it,3800,189,114.24,4,992.22
2025-11-01,Shopping - IT,IT,it,3937,85,120.9,3,1033.83
2025-12-01,Shopping - IT,IT,it,4129,191,107.26,12,645.82
2026-01-01,Shopping - IT,IT,it,3448,99,123.53,3,919.39
2026-02-01,Shopping - IT,IT,it,3714,139,134.1,8,313.75
2026-03-01,Shopping - IT,IT,it,3104,129,81.08,9,1016.79
2026-04-01,Shopping - IT,IT,it,3098,118,92.99,6,896.05
2026-05-01,Shopping - IT,IT,it,2963,86,112.69,5,879.82
2026-06-01,Shopping - IT,IT,it,2600,98,99.1,2,908.54
2026-07-01,Shopping - IT,IT,it,3376,98,111.16,5,1263.75
2025-08-01,Search - Brand - NL,NL,nl,1814,48,60.0,2,1586.34
2025-09-01,Search - Brand - NL,NL,nl,1902,47,60.0,2,1678.42
2025-10-01,Search - Brand - NL,NL,nl,2291,87,64.64,4,2954.14
2025-11-01,Search - Brand - NL,NL,nl,1580,60,60.0,2,1054.97
2025-12-01,Search - Brand - NL,NL,nl,2735,133,70.46,3,2106.26
2026-01-01,Search - Brand - NL,NL,nl,1728,37,60.0,1,2255.83
2026-02-01,Search - Brand - NL,NL,nl,2085,92,60.0,5,2736.55
2026-03-01,Search - Brand - NL,NL,nl,1801,85,60.0,6,1467.43
2026-04-01,Search - Brand - NL,NL,nl,2311,107,60.0,7,1742.45
2026-05-01,Search - Brand - NL,NL,nl,1709,56,60.0,2,1834.15
2026-06-01,Search - Brand - NL,NL,nl,2589,76,87.45,3,2426.16
2026-07-01,Search - Brand - NL,NL,nl,2240,99,60.0,4,1578.54
2025-08-01,Search - Generic - NL,NL,nl,3700,114,104.4,5,561.24
2025-09-01,Search - Generic - NL,NL,nl,2931,74,111.47,3,739.97
2025-10-01,Search - Generic - NL,NL,nl,4424,177,131.72,8,908.97
2025-11-01,Search - Generic - NL,NL,nl,2629,92,82.8,3,699.74
2025-12-01,Search - Generic - NL,NL,nl,3029,63,107.94,1,409.72
2026-01-01,Search - Generic - NL,NL,nl,2404,83,91.4,5,856.54
2026-02-01,Search - Generic - NL,NL,nl,4076,201,111.95,12,684.96
2026-03-01,Search - Generic - NL,NL,nl,4373,108,127.25,7,598.25
2026-04-01,Search - Generic - NL,NL,nl,4406,170,122.0,11,579.99
2026-05-01,Search - Generic - NL,NL,nl,4823,191,127.21,14,723.53
2026-06-01,Search - Generic - NL,NL,nl,3220,130,113.69,5,181.5
2026-07-01,Search - Generic - NL,NL,nl,3712,169,97.07,10,1046.55
2025-08-01,Shopping - NL,NL,nl,4787,149,138.76,6,790.49
2025-09-01,Shopping - NL,NL,nl,4479,145,127.75,11,890.42
2025-10-01,Shopping - NL,NL,nl,3268,60,102.57,2,586.73
2025-11-01,Shopping - NL,NL,nl,3290,135,107.15,7,820.41
2025-12-01,Shopping - NL,NL,nl,3078,138,112.38,10,582.6
2026-01-01,Shopping - NL,NL,nl,4256,202,114.71,12,840.38
2026-02-01,Shopping - NL,NL,nl,3212,79,112.41,3,911.74
2026-03-01,Shopping - NL,NL,nl,3910,186,108.67,5,904.29
2026-04-01,Shopping - NL,NL,nl,3884,145,103.91,9,551.23
2026-05-01,Shopping - NL,NL,nl,2816,103,105.96,2,853.05
2026-06-01,Shopping - NL,NL,nl,4331,216,126.7,10,1340.2
2026-07-01,Shopping - NL,NL,nl,4750,193,119.12,6,1050.07
2025-08-01,Search - Brand - PT,PT,pt,1634,63,60.91,4,2415.2
2025-09-01,Search - Brand - PT,PT,pt,2249,96,60.0,5,2050.97
2025-10-01,Search - Brand - PT,PT,pt,2180,95,60.0,3,2329.04
2025-11-01,Search - Brand - PT,PT,pt,2159,39,60.0,1,1641.4
2025-12-01,Search - Brand - PT,PT,pt,2326,56,60.0,2,1827.17
2026-01-01,Search - Brand - PT,PT,pt,2025,41,60.0,2,1625.49
2026-02-01,Search - Brand - PT,PT,pt,2123,66,71.85,4,2195.21
2026-03-01,Search - Brand - PT,PT,pt,2022,55,60.0,3,1770.13
2026-04-01,Search - Brand - PT,PT,pt,1591,36,60.0,2,2303.75
2026-05-01,Search - Brand - PT,PT,pt,2181,106,60.0,5,1413.15
2026-06-01,Search - Brand - PT,PT,pt,1566,52,60.0,2,1248.21
2026-07-01,Search - Brand - PT,PT,pt,2202,72,60.0,3,2104.92
2025-08-01,Search - Generic - PT,PT,pt,5110,117,138.98,7,591.15
2025-09-01,Search - Generic - PT,PT,pt,3797,114,102.95,4,932.93
2025-10-01,Search - Generic - PT,PT,pt,2432,106,79.15,3,758.75
2025-11-01,Search - Generic - PT,PT,pt,3262,72,114.23,4,626.61
2025-12-01,Search - Generic - PT,PT,pt,3078,133,104.71,3,811.23
2026-01-01,Search - Generic - PT,PT,pt,3857,112,120.25,2,760.94
2026-02-01,Search - Generic - PT,PT,pt,3295,119,108.66,4,885.08
2026-03-01,Search - Generic - PT,PT,pt,4460,215,136.87,15,776.96
2026-04-01,Search - Generic - PT,PT,pt,3075,116,96.34,4,734.47
2026-05-01,Search - Generic - PT,PT,pt,3626,140,114.8,6,466.52
2026-06-01,Search - Generic - PT,PT,pt,3136,74,117.97,5,797.56
2026-07-01,Search - Generic - PT,PT,pt,3341,91,123.69,3,944.6
2025-08-01,Shopping - PT,PT,pt,2048,78,72.63,4,975.46
2025-09-01,Shopping - PT,PT,pt,3784,92,103.85,3,1162.21
2025-10-01,Shopping - PT,PT,pt,4782,143,126.33,5,583.76
2025-11-01,Shopping - PT,PT,pt,3969,126,126.25,4,793.36
2025-12-01,Shopping - PT,PT,pt,2318,61,82.36,2,1137.16
2026-01-01,Shopping - PT,PT,pt,3078,55,115.4,3,1207.94
2026-02-01,Shopping - PT,PT,pt,3563,97,116.53,3,987.86
2026-03-01,Shopping - PT,PT,pt,3130,98,110.41,4,881.56
2026-04-01,Shopping - PT,PT,pt,5369,127,137.02,3,726.54
2026-05-01,Shopping - PT,PT,pt,3644,163,104.96,10,999.2
2026-06-01,Shopping - PT,PT,pt,4004,113,103.37,5,825.67
2026-07-01,Shopping - PT,PT,pt,2955,60,92.93,3,653.23
